epoch,accuracy,crossentropy,learning_rate,loss,top_2_accuracy,val_accuracy,val_crossentropy,val_loss,val_top_2_accuracy
0,0.25338491797447205,1.8882726430892944,0.0010000000474974513,1.8979566097259521,0.4738878011703491,0.05524861812591553,2.6201813220977783,2.6201813220977783,0.13812154531478882
1,0.310859352350235,1.662367343902588,0.0010000000474974513,1.7028719186782837,0.5606521368026733,0.05524861812591553,2.6259586811065674,2.6259586811065674,0.13812154531478882
0,0.24951644241809845,1.8664697408676147,0.0010000000474974513,1.929394006729126,0.4832826852798462,0.08287292718887329,10.747848510742188,10.747848510742188,0.13812154531478882
1,0.2818458080291748,1.7032499313354492,0.0010000000474974513,1.7491369247436523,0.5241779685020447,0.08176795393228531,2.8604896068573,2.8604896068573,0.15027624368667603
2,0.3056092858314514,1.6194279193878174,0.0010000000474974513,1.655106782913208,0.5606521368026733,0.11712706834077835,1.9140249490737915,1.9140249490737915,0.3845303952693939
3,0.3625310957431793,1.538048505783081,0.0010000000474974513,1.5893453359603882,0.6065211296081543,0.3171270787715912,1.5517133474349976,1.5517133474349976,0.5127071738243103
4,0.36087316274642944,1.4965286254882812,0.0010000000474974513,1.5226496458053589,0.6452058553695679,0.5038673877716064,1.3165340423583984,1.3165340423583984,0.7027624249458313
5,0.3694390654563904,1.4431005716323853,0.0010000000474974513,1.4869297742843628,0.6631666421890259,0.519336998462677,1.3756670951843262,1.3756670951843262,0.7082872986793518
6,0.4067421853542328,1.3836249113082886,0.0010000000474974513,1.4062578678131104,0.7043381929397583,0.44640883803367615,1.4297913312911987,1.4297913312911987,0.699447512626648
7,0.40646588802337646,1.4028542041778564,0.0010000000474974513,1.4374449253082275,0.6717325448989868,0.33259668946266174,1.4522476196289062,1.4522476196289062,0.6839779019355774
8,0.4211108088493347,1.3418644666671753,0.0010000000474974513,1.3640211820602417,0.7153909802436829,0.4430939257144928,1.3922648429870605,1.3922648429870605,0.7237569093704224
9,0.47222989797592163,1.2760236263275146,0.0003000000142492354,1.3126134872436523,0.7427465915679932,0.519336998462677,1.153415560722351,1.153415560722351,0.8011049628257751
